"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"43","A beautiful funeral today for a real NYC hero, Detective Steven McDonald. Our law enforcement community has my complete and total support.",FALSE,110173,NA,2017-01-13 17:42:42,FALSE,NA,"819962894616064001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realDonaldTrump",21563,FALSE,FALSE,NA,NA
"44","The ""Unaffordable"" Care Act will soon be history!",FALSE,130763,NA,2017-01-13 11:33:24,FALSE,NA,"819869953692155904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",30605,FALSE,FALSE,NA,NA
"45","have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!",FALSE,67612,NA,2017-01-13 11:25:54,FALSE,NA,"819868066364461058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",13689,FALSE,FALSE,NA,NA
"46","What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....",FALSE,58133,NA,2017-01-13 11:22:38,FALSE,NA,"819867246352801792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12981,FALSE,FALSE,NA,NA
"47","released by ""Intelligence"" even knowing there is no proof, and never will be. My people will have a full report on hacking within 90 days!",FALSE,53820,NA,2017-01-13 11:16:54,FALSE,NA,"819865802849587200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12169,FALSE,FALSE,NA,NA
"48","Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...",FALSE,54723,NA,2017-01-13 11:11:13,FALSE,NA,"819864373988573184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12670,FALSE,FALSE,NA,NA
"49","It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....",FALSE,73089,NA,2017-01-13 11:05:55,FALSE,NA,"819863039902097408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17633,FALSE,FALSE,NA,NA
"50","All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!",FALSE,81467,NA,2017-01-13 10:49:34,FALSE,NA,"819858926455967744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16966,FALSE,FALSE,NA,NA
"51","Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!",FALSE,86746,NA,2017-01-12 17:41:11,FALSE,NA,"819600124133474307",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19692,FALSE,FALSE,NA,NA
"52",".@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!",FALSE,129320,NA,2017-01-12 14:22:21,FALSE,NA,"819550083742109696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",35976,FALSE,FALSE,NA,NA
"53","Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine",FALSE,93485,NA,2017-01-12 13:50:13,FALSE,NA,"819541997325316096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",21866,FALSE,FALSE,NA,NA
